mscp41;429
mscp42;512
mscp43;516
mscp44;494
mscp45;512
mscp46;560
mscp47;430
mscp48;492
mscp49;541
mscp410;514
mscp51;253
mscp52;302
mscp53;226
mscp54;242
mscp55;211
mscp56;213
mscp57;293
mscp58;288
mscp59;279
mscp510;265
mscp61;138
mscp62;146
mscp63;145
mscp64;131
mscp65;161
mscpA1;253
mscpA2;252
mscpA3;232
mscpA4;234
mscpA5;236
mscpB1;69
mscpB2;76
mscpB3;80
mscpB4;79
mscpB5;72
mscpC1;227
mscpC2;219
mscpC3;243
mscpC4;219
mscpC5;215
mscpD1;60
mscpD2;66
mscpD3;72
mscpD4;62
mscpD5;61
mscpnrE1;29
mscpnrE2;30
mscpnrE3;27
mscpnrE4;28
mscpnrE5;28
mscpnrF1;14
mscpnrF2;15
mscpnrF3;14
mscpnrF4;14
mscpnrF5;13
mscpnrG1;176
mscpnrG2;154
mscpnrG3;166
mscpnrG4;168
mscpnrG5;168
mscpnrH1;63
mscpnrH2;63
mscpnrH3;59
mscpnrH4;58
mscpnrH5;55
